Geography,Mean_ppb
Financial District (CD1),28
Greenwich Village and Soho (CD2),27.9
Lower East Side and Chinatown (CD3),28.4
Clinton and Chelsea (CD4),27.3
Midtown (CD5),26.9
Stuyvesant Town and Turtle Bay (CD6),27.2
Upper West Side (CD7),27.8
Upper East Side (CD8),27.8
Morningside Heights and Hamilton Heights (CD9),28.6
Central Harlem (CD10),28.6
East Harlem (CD11),28.3
Washington Heights and Inwood (CD12),27.6
Mott Haven and Melrose (CD1),28.8
Hunts Point and Longwood (CD2),29.1
Morrisania and Crotona (CD3),29.4
Highbridge and Concourse (CD4),28.9
Fordham and University Heights (CD5),28.9
Belmont and East Tremont (CD6),29.5
Kingsbridge Heights and Bedford (CD7),29.8
Riverdale and Fieldston (CD8),29.1
Parkchester and Soundview (CD9),29.7
Throgs Neck and Co-op City (CD10),30.7
Morris Park and Bronxdale (CD11),30.3
Williamsbridge and Baychester (CD12),30.3
Greenpoint and Williamsburg (CD1),27.8
Fort Greene and Brooklyn Heights (CD2),28.6
Bedford Stuyvesant (CD3),29.6
Bushwick (CD4),30.4
East New York and Starrett City (CD5),31.3
Park Slope and Carroll Gardens (CD6),28.9
Sunset Park (CD7),28.9
Crown Heights and Prospect Heights (CD8),29.9
South Crown Heights and Lefferts Gardens (CD9),30.6
Bay Ridge and Dyker Heights (CD10),29.7
Bensonhurst (CD11),31.2
Borough Park (CD12),30.4
Coney Island (CD13),32.4
Flatbush and Midwood (CD14),30.4
Sheepshead Bay (CD15),31.8
Brownsville (CD16),30.8
East Flatbush (CD17),31
Flatlands and Canarsie (CD18),32.2
Long Island City and Astoria (CD1),30.4
Woodside and Sunnyside (CD2),28
Jackson Heights (CD3),30.4
Elmhurst and Corona (CD4),30.3
Ridgewood and Maspeth (CD5),29.7
Rego Park and Forest Hills (CD6),30.2
Flushing and Whitestone (CD7),30.8
Hillcrest and Fresh Meadows (CD8),30.3
Kew Gardens and Woodhaven (CD9),31.1
South Ozone Park and Howard Beach (CD10),32.4
Bayside and Little Neck (CD11),30.3
Jamaica and Hollis (CD12),31.4
Queens Village (CD13),31.3
Rockaway and Broad Channel (CD14),34.9
St. George and Stapleton (CD1),28.6
South Beach and Willowbrook (CD2),29.4
Tottenville and Great Kills (CD3),30.2
Kingsbridge - Riverdale,29
Northeast Bronx,30.4
Fordham - Bronx Pk,30
Pelham - Throgs Neck,30.3
Crotona -Tremont,29
High Bridge - Morrisania,29.2
Hunts Point - Mott Haven,29.5
Greenpoint,27.8
Downtown - Heights - Slope,28.7
Bedford Stuyvesant - Crown Heights,30.3
East New York,31.1
Sunset Park,29
Borough Park,30.5
East Flatbush - Flatbush,30.9
Canarsie - Flatlands,32.3
Bensonhurst - Bay Ridge,30.4
Coney Island - Sheepshead Bay,32
Williamsburg - Bushwick,29.3
Washington Heights,27.9
Central Harlem - Morningside Heights,28.5
East Harlem,28.4
Upper West Side,27.8
Upper East Side,27.8
Chelsea - Clinton,27.1
Gramercy Park - Murray Hill,26.9
Greenwich Village - SoHo,28
Union Square - Lower East Side,28.3
Lower Manhattan,28
Long Island City - Astoria,29.2
West Queens,29.2
Flushing - Clearview,30.8
Bayside - Little Neck,30.1
Ridgewood - Forest Hills,30.5
Fresh Meadows,30.5
Southwest Queens,31.9
Jamaica,31
Southeast Queens,31.5
Rockaways,34.8
Port Richmond,28.6
Stapleton - St. George,29.1
Willowbrook,29.1
South Beach - Tottenville,30.2
Kingsbridge - Riverdale,29
Northeast Bronx,30.4
Fordham - Bronx Pk,30
Pelham - Throgs Neck,30.3
Greenpoint,27.8
Downtown - Heights - Slope,28.7
Bedford Stuyvesant - Crown Heights,30.3
East New York,31.1
Sunset Park,29
Borough Park,30.5
East Flatbush - Flatbush,30.9
Canarsie - Flatlands,32.3
Bensonhurst - Bay Ridge,30.4
Coney Island - Sheepshead Bay,32
Williamsburg - Bushwick,29.3
Washington Heights,27.9
Central Harlem - Morningside Heights,28.5
East Harlem,28.4
Upper West Side,27.8
Long Island City - Astoria,29.2
West Queens,29.2
Flushing - Clearview,30.8
Ridgewood - Forest Hills,30.5
Southwest Queens,31.9
Jamaica,31
Southeast Queens,31.5
Rockaways,34.8
Upper East Side-Gramercy,27.4
Chelsea-Village  ,27.4
Union Square-Lower Manhattan,28.2
Bayside Little Neck-Fresh Meadows,30.3
Northern SI,28.9
Southern SI,29.8
South Bronx,29.2
Bronx,29.8
