Geography,Mean mcg/m3
Financial District (CD1),7.7
Greenwich Village and Soho (CD2),8.5
Lower East Side and Chinatown (CD3),7.6
Clinton and Chelsea (CD4),8.1
Midtown (CD5),8.9
Stuyvesant Town and Turtle Bay (CD6),7.9
Upper West Side (CD7),6.8
Upper East Side (CD8),7
Morningside Heights and Hamilton Heights (CD9),6.8
Central Harlem (CD10),6.8
East Harlem (CD11),6.8
Washington Heights and Inwood (CD12),6.9
Mott Haven and Melrose (CD1),6.8
Hunts Point and Longwood (CD2),7.3
Morrisania and Crotona (CD3),6.7
Highbridge and Concourse (CD4),6.7
Fordham and University Heights (CD5),6.8
Belmont and East Tremont (CD6),6.8
Kingsbridge Heights and Bedford (CD7),6.6
Riverdale and Fieldston (CD8),6.5
Parkchester and Soundview (CD9),6.7
Throgs Neck and Co-op City (CD10),6.5
Morris Park and Bronxdale (CD11),6.6
Williamsbridge and Baychester (CD12),6.5
Greenpoint and Williamsburg (CD1),7.7
Fort Greene and Brooklyn Heights (CD2),7.1
Bedford Stuyvesant (CD3),6.8
Bushwick (CD4),6.9
East New York and Starrett City (CD5),6.5
Park Slope and Carroll Gardens (CD6),7.1
Sunset Park (CD7),7
Crown Heights and Prospect Heights (CD8),6.7
South Crown Heights and Lefferts Gardens (CD9),6.5
Bay Ridge and Dyker Heights (CD10),6.5
Bensonhurst (CD11),6.4
Borough Park (CD12),6.5
Coney Island (CD13),6.3
Flatbush and Midwood (CD14),6.4
Sheepshead Bay (CD15),6.3
Brownsville (CD16),6.5
East Flatbush (CD17),6.5
Flatlands and Canarsie (CD18),6.2
Long Island City and Astoria (CD1),6.8
Woodside and Sunnyside (CD2),7.6
Jackson Heights (CD3),6.6
Elmhurst and Corona (CD4),6.7
Ridgewood and Maspeth (CD5),7
Rego Park and Forest Hills (CD6),6.4
Flushing and Whitestone (CD7),6.5
Hillcrest and Fresh Meadows (CD8),6.3
Kew Gardens and Woodhaven (CD9),6.5
South Ozone Park and Howard Beach (CD10),6.2
Bayside and Little Neck (CD11),6.3
Jamaica and Hollis (CD12),6.3
Queens Village (CD13),6.3
Rockaway and Broad Channel (CD14),5.9
St. George and Stapleton (CD1),6.3
South Beach and Willowbrook (CD2),6.2
Tottenville and Great Kills (CD3),6
