GeoType,Geography,Percent
CD,Financial District (CD1),21.9
CD,Greenwich Village and Soho (CD2),15.3
CD,Lower East Side and Chinatown (CD3),25.9
CD,Clinton and Chelsea (CD4),12.8
CD,Midtown (CD5),4.7
CD,Stuyvesant Town and Turtle Bay (CD6),20.8
CD,Upper West Side (CD7),28.9
CD,Upper East Side (CD8),21.7
CD,Morningside Heights and Hamilton Heights (CD9),32.4
CD,Central Harlem (CD10),24.3
CD,East Harlem (CD11),32.6
CD,Washington Heights and Inwood (CD12),37.7
CD,Mott Haven and Melrose (CD1),19.8
CD,Hunts Point and Longwood (CD2),13.5
CD,Morrisania and Crotona (CD3),30.1
CD,Highbridge and Concourse (CD4),22.2
CD,Fordham and University Heights (CD5),20.3
CD,Belmont and East Tremont (CD6),21.8
CD,Kingsbridge Heights and Bedford (CD7),24.7
CD,Riverdale and Fieldston (CD8),48.9
CD,Parkchester and Soundview (CD9),32
CD,Throgs Neck and Co-op City (CD10),39
CD,Morris Park and Bronxdale (CD11),29.7
CD,Williamsbridge and Baychester (CD12),38.5
CD,Greenpoint and Williamsburg (CD1),13.9
CD,Fort Greene and Brooklyn Heights (CD2),24.6
CD,Bedford Stuyvesant (CD3),25.1
CD,Bushwick (CD4),25.4
CD,East New York and Starrett City (CD5),28.3
CD,Park Slope and Carroll Gardens (CD6),20.8
CD,Sunset Park (CD7),29.4
CD,Crown Heights and Prospect Heights (CD8),24.6
CD,South Crown Heights and Lefferts Gardens (CD9),21.5
CD,Bay Ridge and Dyker Heights (CD10),32.3
CD,Bensonhurst (CD11),15.6
CD,Borough Park (CD12),23.9
CD,Coney Island (CD13),22.8
CD,Flatbush and Midwood (CD14),29.3
CD,Sheepshead Bay (CD15),23.4
CD,Brownsville (CD16),23.1
CD,East Flatbush (CD17),22
CD,Flatlands and Canarsie (CD18),34.9
CD,Long Island City and Astoria (CD1),23.2
CD,Woodside and Sunnyside (CD2),23.4
CD,Jackson Heights (CD3),24.3
CD,Elmhurst and Corona (CD4),18.3
CD,Ridgewood and Maspeth (CD5),38.2
CD,Rego Park and Forest Hills (CD6),34.5
CD,Flushing and Whitestone (CD7),38.1
CD,Hillcrest and Fresh Meadows (CD8),48.4
CD,Kew Gardens and Woodhaven (CD9),24.8
CD,South Ozone Park and Howard Beach (CD10),31.4
CD,Bayside and Little Neck (CD11),51.6
CD,Jamaica and Hollis (CD12),32.5
CD,Queens Village (CD13),42.1
CD,Rockaway and Broad Channel (CD14),31.3
CD,St. George and Stapleton (CD1),45.1
CD,South Beach and Willowbrook (CD2),60.8
CD,Tottenville and Great Kills (CD3),58.8
