GeoType,Geography,Percent,Degrees,Score,Time,GeoTypeDesc,GeoID,GeoRank,10th percentile ppb,90th percentile ppb,Mean_ppb,HospRate,Percent_Poverty,Perc_Dpct,Perc_D,Perc_C,Pct_DorC
CD,Financial District (CD1),21.9,94,1,Summer 2021,Community District,101,6,26.8,29.3,28.0,0.6,7.0,99.51,0.9951,0.0,0.9951
CD,Greenwich Village and Soho (CD2),15.3,98,2,Summer 2021,Community District,102,6,26.7,28.9,27.9,0.3,7.0,42.62,0.4262,0.3795,0.8057
CD,Lower East Side and Chinatown (CD3),25.9,98,3,Summer 2021,Community District,103,6,27.1,29.7,28.4,0.8,26.4,100.0,1.0,0.0,1
CD,Clinton and Chelsea (CD4),12.8,98,2,Summer 2021,Community District,104,6,25.9,28.6,27.3,0.7,12.3,98.29,0.9829,0.017,0.9999
CD,Midtown (CD5),4.7,98,3,Summer 2021,Community District,105,6,25.8,27.9,26.9,1.2,12.3,10.01,0.1001,0.0339,0.134
CD,Stuyvesant Town and Turtle Bay (CD6),20.8,97,2,Summer 2021,Community District,106,6,25.8,29.3,27.2,0.7,7.9,78.52,0.7852,0.0275,0.8127
CD,Upper West Side (CD7),28.9,96,1,Summer 2021,Community District,107,6,26.5,28.9,27.8,0.9,9.6,16.87,0.1687,0.2301,0.3988
CD,Upper East Side (CD8),21.7,97,1,Summer 2021,Community District,108,6,26.6,29.6,27.8,0.6,5.5,53.29,0.5329,0.0,0.5329
CD,Morningside Heights and Hamilton Heights (CD9),32.4,95,3,Summer 2021,Community District,109,6,27.0,29.9,28.6,1.7,22.9,33.9,0.339,0.1599,0.4989
CD,Central Harlem (CD10),24.3,98,5,Summer 2021,Community District,110,6,27.6,29.4,28.6,1.5,24.1,99.25,0.9925,0.0077,1.0002
CD,East Harlem (CD11),32.6,97,4,Summer 2021,Community District,111,6,27.2,29.4,28.3,2.3,33.3,98.41,0.9841,0.0,0.9841
CD,Washington Heights and Inwood (CD12),37.7,94,1,Summer 2021,Community District,112,6,24.8,30.3,27.6,0.9,19.7,0.0,0.0,0.2634,0.2634
CD,Mott Haven and Melrose (CD1),19.8,101,5,Summer 2021,Community District,201,6,27.4,30.1,28.8,2.3,40.1,99.96,0.9996,0.0,0.9996
CD,Hunts Point and Longwood (CD2),13.5,101,5,Summer 2021,Community District,202,6,27.2,30.9,29.1,2.2,40.1,76.88,0.7688,0.2308,0.9996
CD,Morrisania and Crotona (CD3),30.1,99,5,Summer 2021,Community District,203,6,28.2,30.5,29.4,1.9,38.5,99.78,0.9978,0.0019,0.9997
CD,Highbridge and Concourse (CD4),22.2,98,5,Summer 2021,Community District,204,6,27.2,30.2,28.9,2.9,34.5,0.09,0.0009,0.8166,0.8175
CD,Fordham and University Heights (CD5),20.3,98,5,Summer 2021,Community District,205,6,27.3,30.2,28.9,1.8,36.7,0.03,0.0003,0.7322,0.7325
CD,Belmont and East Tremont (CD6),21.8,99,5,Summer 2021,Community District,206,6,28.5,30.4,29.5,2.5,38.5,94.03,0.9403,0.0596,0.9999
CD,Kingsbridge Heights and Bedford (CD7),24.7,97,4,Summer 2021,Community District,207,6,28.6,30.9,29.8,1.9,29.5,0.1,0.001,0.2002,0.2012
CD,Riverdale and Fieldston (CD8),48.9,93,1,Summer 2021,Community District,208,6,27.6,30.7,29.1,1.1,17.6,0.0,0.0,0.1996,0.1996
CD,Parkchester and Soundview (CD9),32.0,98,4,Summer 2021,Community District,209,6,28.3,31.2,29.7,2.3,26.8,31.73,0.3173,0.6825,0.9998
CD,Throgs Neck and Co-op City (CD10),39.0,97,2,Summer 2021,Community District,210,6,29.2,32.7,30.7,1.2,11.9,0.0,0.0,0.9996,0.9996
CD,Morris Park and Bronxdale (CD11),29.7,100,4,Summer 2021,Community District,211,6,29.2,31.4,30.3,1.9,18.6,0.0,0.0,0.9404,0.9404
CD,Williamsbridge and Baychester (CD12),38.5,98,3,Summer 2021,Community District,212,6,29.1,31.3,30.3,2.4,17.9,23.67,0.2367,0.7046,0.9413
CD,Greenpoint and Williamsburg (CD1),13.9,100,4,Summer 2021,Community District,301,6,25.8,29.6,27.8,0.8,22.6,91.59,0.9159,0.0839,0.9998
CD,Fort Greene and Brooklyn Heights (CD2),24.6,98,3,Summer 2021,Community District,302,6,27.0,30.2,28.6,1.9,15.7,73.76,0.7376,0.1676,0.9052
CD,Bedford Stuyvesant (CD3),25.1,99,5,Summer 2021,Community District,303,6,27.8,31.0,29.6,2.4,26.9,97.66,0.9766,0.0234,1
CD,Bushwick (CD4),25.4,100,4,Summer 2021,Community District,304,6,28.7,31.5,30.4,3.1,26.8,52.18,0.5218,0.4798,1.0016
CD,East New York and Starrett City (CD5),28.3,100,5,Summer 2021,Community District,305,6,29.9,32.9,31.3,2.1,26.4,67.68,0.6768,0.2956,0.9724
CD,Park Slope and Carroll Gardens (CD6),20.8,97,2,Summer 2021,Community District,306,6,27.6,30.4,28.9,1.1,9.6,72.03,0.7203,0.1937,0.914
CD,Sunset Park (CD7),29.4,96,2,Summer 2021,Community District,307,6,27.1,30.4,28.9,2.1,23.2,44.08,0.4408,0.5594,1.0002
CD,Crown Heights and Prospect Heights (CD8),24.6,98,4,Summer 2021,Community District,308,6,28.7,31.0,29.9,2.3,21.2,44.18,0.4418,0.4658,0.9076
CD,South Crown Heights and Lefferts Gardens (CD9),21.5,98,4,Summer 2021,Community District,309,6,29.7,31.5,30.6,2.9,18.0,0.0,0.0,0.2867,0.2867
CD,Bay Ridge and Dyker Heights (CD10),32.3,94,1,Summer 2021,Community District,310,6,28.3,31.1,29.7,1.5,14.3,8.4,0.084,0.0885,0.1725
CD,Bensonhurst (CD11),15.6,96,2,Summer 2021,Community District,311,6,30.5,31.8,31.2,0.9,16.8,4.27,0.0427,0.734,0.7767
CD,Borough Park (CD12),23.9,99,4,Summer 2021,Community District,312,6,29.5,31.3,30.4,1.1,29.1,15.42,0.1542,0.7473,0.9015
CD,Coney Island (CD13),22.8,96,3,Summer 2021,Community District,313,6,31.0,34.0,32.4,1.7,23.8,64.5,0.645,0.3536,0.9986
CD,Flatbush and Midwood (CD14),29.3,99,4,Summer 2021,Community District,314,6,29.3,31.3,30.4,1.4,17.5,0.0,0.0,0.2317,0.2317
CD,Sheepshead Bay (CD15),23.4,98,2,Summer 2021,Community District,315,6,30.7,33.3,31.8,1.0,14.0,34.51,0.3451,0.4104,0.7555
CD,Brownsville (CD16),23.1,101,5,Summer 2021,Community District,316,6,29.7,31.7,30.8,3.6,34.0,77.75,0.7775,0.2225,1
CD,East Flatbush (CD17),22.0,99,5,Summer 2021,Community District,317,6,30.1,31.9,31.0,1.9,13.6,0.0,0.0,0.4078,0.4078
CD,Flatlands and Canarsie (CD18),34.9,98,3,Summer 2021,Community District,318,6,30.4,34.8,32.2,1.3,10.0,43.12,0.4312,0.1799,0.6111
CD,Long Island City and Astoria (CD1),23.2,99,2,Summer 2021,Community District,401,6,29.0,32.6,30.4,1.1,13.6,37.17,0.3717,0.6282,0.9999
CD,Woodside and Sunnyside (CD2),23.4,100,3,Summer 2021,Community District,402,6,25.3,30.5,28.0,0.5,9.9,15.74,0.1574,0.8423,0.9997
