BoroCode,BoroName,CountyFIPS,NTACode,NTAName,Shape_Leng,Shape_Area,Shape_Sq_Miles
2,Bronx,5,BX31,Allerton-Pelham Gardens,25471.00014,31684835.44,1.136471859
5,Staten Island,85,SI01,Annadale-Huguenot-Prince's Bay-Eltingville,71309.71702,141190243.5,5.064212465
5,Staten Island,85,SI48,Arden Heights,29695.26466,50414782.65,1.808277713
4,Queens,81,QN70,Astoria,32536.01649,39335039.15,1.41086941
4,Queens,81,QN48,Auburndale,32451.76733,34167059.64,1.225504291
4,Queens,81,QN76,Baisley Park,31477.81383,44040866.01,1.579658035
3,Brooklyn,47,BK27,Bath Beach,22422.37025,20556460.03,0.737319226
1,Manhattan,61,MN25,Battery Park City-Lower Manhattan,43727.72518,19011672.54,0.68191078
3,Brooklyn,47,BK31,Bay Ridge,44542.2765,67226641.48,2.411285563
4,Queens,81,QN46,Bayside-Bayside Hills,42574.91039,80744707.84,2.896151644
3,Brooklyn,47,BK75,Bedford,29992.9241,32629788.74,1.17036545
2,Bronx,5,BX05,Bedford Park-Fordham North,22565.48217,14998883.83,0.537980051
4,Queens,81,QN43,Bellerose,32086.8008,55193394.62,1.979676995
2,Bronx,5,BX06,Belmont,17135.49914,13559325.17,0.486345953
3,Brooklyn,47,BK29,Bensonhurst East,33800.95607,35806720.75,1.284315665
3,Brooklyn,47,BK28,Bensonhurst West,37028.56094,46663410.38,1.673723471
3,Brooklyn,47,BK88,Borough Park,39247.23996,54004947.24,1.937049757
4,Queens,81,QN10,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,114602.5833,99625777.64,3.573377964
4,Queens,81,QN35,Briarwood-Jamaica Hills,29913.49407,29269035.29,1.049821926
3,Brooklyn,47,BK19,Brighton Beach,21058.06984,17180662.58,0.616236104
2,Bronx,5,BX07,Bronxdale,17431.53245,15188958.64,0.544797656
3,Brooklyn,47,BK09,Brooklyn Heights-Cobble Hill,14264.57434,9985082.732,0.358145005
3,Brooklyn,47,BK81,Brownsville,27297.17717,32717928.48,1.173526846
3,Brooklyn,47,BK77,Bushwick North,26321.6271,24927927.34,0.894115041
3,Brooklyn,47,BK78,Bushwick South,40735.74589,40169273.89,1.440791746
4,Queens,81,QN33,Cambria Heights,26168.46218,33076726.87,1.186396229
3,Brooklyn,47,BK50,Canarsie,43703.60967,82089678.64,2.944393065
3,Brooklyn,47,BK33,Carroll Gardens-Columbia Street-Red Hook,60805.71573,44603982.83,1.599855912
1,Manhattan,61,MN03,Central Harlem North-Polo Grounds,28027.40375,25403028.23,0.911155962
1,Manhattan,61,MN11,Central Harlem South,16624.46271,14441227.81,0.517978042
5,Staten Island,85,SI11,Charleston-Richmond Valley-Tottenville,84983.55421,145534202.1,5.220021596
1,Manhattan,61,MN27,Chinatown,20786.25464,14501876.78,0.520153399
2,Bronx,5,BX01,Claremont-Bathgate,30053.13095,16451870.71,0.590095793
1,Manhattan,61,MN15,Clinton,34570.93894,18373850.68,0.659033382
3,Brooklyn,47,BK69,Clinton Hill,23971.46623,20528197.44,0.736305503
2,Bronx,5,BX13,Co-op City,30322.40506,39789799.1,1.427180742
4,Queens,81,QN23,College Point,59454.75003,50553981.24,1.813270489
4,Queens,81,QN25,Corona,23868.64086,20077317.04,0.720133323
2,Bronx,5,BX75,Crotona Park East,24782.28513,16311864.77,0.585074059
3,Brooklyn,47,BK61,Crown Heights North,35651.01938,51627171.1,1.851763669
3,Brooklyn,47,BK63,Crown Heights South,24180.83175,15979073.87,0.573137513
3,Brooklyn,47,BK83,Cypress Hills-City Line,35564.05819,27609541.03,0.990299176
4,Queens,81,QN45,Douglas Manor-Douglaston-Little Neck,51710.30111,67889346.43,2.435055467
3,Brooklyn,47,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,32542.66443,28476938.28,1.021410986
3,Brooklyn,47,BK30,Dyker Heights,30730.95028,29917451.01,1.073079305
2,Bronx,5,BX14,East Concourse-Concourse Village,27199.83193,18221533.43,0.653570065
4,Queens,81,QN27,East Elmhurst,19815.4458,19725100.74,0.707500027
3,Brooklyn,47,BK91,East Flatbush-Farragut,39191.17771,34360313.56,1.232435924
4,Queens,81,QN52,East Flushing,25848.54545,29453683.8,1.056444899
1,Manhattan,61,MN34,East Harlem North,30603.69525,24494917.2,0.878583831
1,Manhattan,61,MN33,East Harlem South,18624.66092,16650685.44,0.597226881
3,Brooklyn,47,BK82,East New York,87935.22549,117030179.2,4.197639141
3,Brooklyn,47,BK85,East New York (Pennsylvania Ave),24226.85163,19397526.81,0.695750603
2,Bronx,5,BX17,East Tremont,29651.35148,19255261.14,0.690647817
1,Manhattan,61,MN22,East Village,13555.23152,10894242.62,0.390754757
3,Brooklyn,47,BK90,East Williamsburg,49260.49367,39132383.27,1.403600548
2,Bronx,5,BX03,Eastchester-Edenwald-Baychester,59283.87789,40264969.78,1.444224167
4,Queens,81,QN29,Elmhurst,36647.39216,32682813.4,1.172267338
4,Queens,81,QN50,Elmhurst-Maspeth,32298.62822,21919703.03,0.786216034
3,Brooklyn,47,BK95,Erasmus,18757.26164,14531187.46,0.521204715
4,Queens,81,QN15,Far Rockaway-Bayswater,48666.02862,54206739.31,1.944287637
3,Brooklyn,47,BK42,Flatbush,38738.40872,45246195.15,1.622890787
3,Brooklyn,47,BK58,Flatlands,40615.92024,54343845.62,1.949205367
4,Queens,81,QN22,Flushing,38368.06798,37864244.37,1.358114934
2,Bronx,5,BX40,Fordham South,15880.35278,6308874.991,0.226286764
4,Queens,81,QN17,Forest Hills,36173.64911,57823290.66,2.074006121
3,Brooklyn,47,BK68,Fort Greene,19825.52086,16482821.65,0.591205941
4,Queens,81,QN41,Fresh Meadows-Utopia,22106.43154,27774853.95,0.996228621
4,Queens,81,QN47,Ft. Totten-Bay Terrace-Clearview,39936.70042,46323120.93,1.661517968
3,Brooklyn,47,BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,90658.98746,69455153.06,2.491217829
