Time,Geography,Heat_Index_1to5,Count of TREES,Shape_Sq_Mile,Trees_Per_Sq_Mi
2018,Allerton-Pelham Gardens,4,3843,1.13647186,3381.517955
2018,Annadale-Huguenot-Prince's Bay-Eltingville,1,12969,5.06421247,2560.911509
2018,Arden Heights,1,6999,1.80827771,3870.533802
2018,Astoria,2,4393,1.41086941,3113.682931
2018,Auburndale,2,5332,1.22550429,4350.861962
2018,Baisley Park,4,4815,1.57965804,3048.128062
2018,Bath Beach,1,1818,0.73731923,2465.689115
2018,Battery Park City-Lower Manhattan,1,1311,0.68191078,1922.538899
2018,Bay Ridge,1,7026,2.41128556,2913.798397
2018,Bayside-Bayside Hills,2,9780,2.89615164,3376.895003
2018,Bedford,5,3702,1.17036545,3163.114564
2018,Bedford Park-Fordham North,4,1821,0.53798005,3384.883882
2018,Bellerose,2,6246,1.979677,3155.060144
2018,Belmont,5,1637,0.48634595,3365.916792
2018,Bensonhurst East,3,3348,1.28431567,2606.835748
2018,Bensonhurst West,2,4258,1.67372347,2544.028375
2018,Borough Park,4,5955,1.93704976,3074.26279
2018,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,2,4351,3.57337796,1217.61539
2018,Briarwood-Jamaica Hills,3,3278,1.04982193,3122.434297
2018,Brighton Beach,3,1281,0.6162361,2078.748713
2018,Bronxdale,4,1550,0.54479766,2845.092984
2018,Brooklyn Heights-Cobble Hill,2,1767,0.35814501,4933.755743
2018,Brownsville,5,3092,1.17352685,2634.792719
2018,Bushwick North,4,3455,0.89411504,3864.156004
2018,Bushwick South,5,4538,1.44079175,3149.657124
2018,Cambria Heights,4,3324,1.18639623,2801.762106
2018,Canarsie,4,5994,2.94439307,2035.733633
2018,Carroll Gardens-Columbia Street-Red Hook,2,4346,1.59985591,2716.494637
2018,Central Harlem North-Polo Grounds,5,3515,0.91115596,3857.736935
2018,Central Harlem South,5,2670,0.51797804,5154.65868
2018,Charleston-Richmond Valley-Tottenville,1,8216,5.2200216,1573.939847
2018,Chinatown,4,1474,0.5201534,2833.77942
2018,Claremont-Bathgate,5,1706,0.59009579,2891.056044
2018,Clinton,2,2008,0.65903338,3046.886639
