Geography,Heat_Index_1to5,Trees_Per_Sq_Mi
Allerton-Pelham Gardens,4,3381.517955
Annadale-Huguenot-Prince's Bay-Eltingville,1,2560.911509
Arden Heights,1,3870.533802
Astoria,2,3113.682931
Auburndale,2,4350.861962
Baisley Park,4,3048.128062
Bath Beach,1,2465.689115
Battery Park City-Lower Manhattan,1,1922.538899
Bay Ridge,1,2913.798397
Bayside-Bayside Hills,2,3376.895003
Bedford,5,3163.114564
Bedford Park-Fordham North,4,3384.883882
Bellerose,2,3155.060144
Belmont,5,3365.916792
Bensonhurst East,3,2606.835748
Bensonhurst West,2,2544.028375
Borough Park,4,3074.26279
Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,2,1217.61539
Briarwood-Jamaica Hills,3,3122.434297
Brighton Beach,3,2078.748713
Bronxdale,4,2845.092984
Brooklyn Heights-Cobble Hill,2,4933.755743
Brownsville,5,2634.792719
Bushwick North,4,3864.156004
Bushwick South,5,3149.657124
Cambria Heights,4,2801.762106
Canarsie,4,2035.733633
Carroll Gardens-Columbia Street-Red Hook,2,2716.494637
Central Harlem North-Polo Grounds,5,3857.736935
Central Harlem South,5,5154.65868
Charleston-Richmond Valley-Tottenville,1,1573.939847
Chinatown,4,2833.77942
Claremont-Bathgate,5,2891.056044
Clinton,2,3046.886639
Clinton Hill,3,4097.483993
Co-op City,2,1473.534459
College Point,2,1915.875221
Corona,4,2874.467744
Crotona Park East,5,2642.400519
Crown Heights North,5,3462.104859
Crown Heights South,4,3698.937799
Cypress Hills-City Line,4,3679.696069
Douglas Manor-Douglaston-Little Neck,1,2998.699656
DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,3,2875.434109
Dyker Heights,2,3026.803303
East Concourse-Concourse Village,5,3822.084448
East Elmhurst,4,3060.070542
East Flatbush-Farragut,5,2440.694848
East Flushing,2,3073.515713
East Harlem North,5,2949.064064
East Harlem South,4,3372.252769
East New York,5,2288.667434
East New York (Pennsylvania Ave),5,4298.954252
East Tremont,5,3754.446079
East Village,3,4030.661072
East Williamsburg,4,1635.793032
Eastchester-Edenwald-Baychester,5,1820.354523
Elmhurst,3,2821.028862
Elmhurst-Maspeth,3,2538.742437
Erasmus,5,2676.491495
Far Rockaway-Bayswater,4,2557.234793
Flatbush,3,3768.583837
Flatlands,4,2867.322287
Flushing,3,2376.087567
Fordham South,5,4684.321787
Forest Hills,2,3713.103797
Fort Greene,3,3636.634639
Fresh Meadows-Utopia,1,2882.872407
Ft. Totten-Bay Terrace-Clearview,1,1749.003052
Georgetown-Marine Park-Bergen Beach-Mill Basin,2,2990.10384
Glen Oaks-Floral Park-New Hyde Park,1,4160.741167
Glendale,2,4188.027636
Gramercy,3,4341.134819
Grasmere-Arrochar-Ft. Wadsworth,1,1453.443051
Gravesend,3,1256.551108
Great Kills,1,3339.583754
Greenpoint,3,2663.931602
Grymes Hill-Clifton-Fox Hills,2,1849.938157
Hamilton Heights,3,4198.295234
Hammels-Arverne-Edgemere,3,1435.439138
Highbridge,5,3352.518015
Hollis,5,3109.854268
Homecrest,3,3947.950415
Hudson Yards-Chelsea-Flatiron-Union Square,2,2248.194791
Hunters Point-Sunnyside-West Maspeth,3,1426.868969
Hunts Point,5,1975.429218
Jackson Heights,2,3997.831396
Jamaica,5,2505.813227
Jamaica Estates-Holliswood,1,2771.727321
Kensington-Ocean Parkway,3,4025.876545
Kew Gardens,2,2760.129337
Kew Gardens Hills,2,3744.841349
Kingsbridge Heights,4,2507.758271
Laurelton,4,3239.347799
Lenox Hill-Roosevelt Island,1,3016.314998
Lincoln Square,2,3642.446643
Lindenwood-Howard Beach,1,1998.64935
Longwood,5,4083.629723
Lower East Side,3,2324.968965
Madison,2,3710.658492
Manhattanville,4,2371.206602
Marble Hill-Inwood,3,2751.886666
Mariner's Harbor-Arlington-Port Ivory-Graniteville,3,1176.743847
Maspeth,2,2574.15652
Melrose South-Mott Haven North,5,3480.205034
Middle Village,1,2583.300681
Midtown-Midtown South,2,1104.440849
Midwood,3,3784.871723
Morningside Heights,2,3805.601835
Morrisania-Melrose,5,3845.68726
Mott Haven-Port Morris,5,1674.851603
Mount Hope,5,3885.506789
Murray Hill,2,3788.808671
Murray Hill-Kips Bay,2,3366.565474
New Brighton-Silver Lake,1,2093.233891
New Dorp-Midland Beach,1,2741.328922
New Springville-Bloomfield-Travis,1,719.6774155
North Corona,4,3505.9271
North Riverdale-Fieldston-Riverdale,1,1147.639045
North Side-South Side,3,3365.443925
Norwood,4,3512.275527
Oakland Gardens,1,3311.684858
Oakwood-Oakwood Beach,1,2828.57074
