Geography,Degrees Fahrenheit degrees Fahrenheit,,Row Labels,Count of TREES,Shape_Sq_Mile,Trees_Per_Sq_Mi
Allerton-Pelham Gardens,100,,Allerton-Pelham Gardens,3843,1.13647186,3381.517955
Annadale-Huguenot-Prince's Bay-Eltingville,96,,Annadale-Huguenot-Prince's Bay-Eltingville,12969,5.06421247,2560.911509
Arden Heights,98,,Arden Heights,6999,1.80827771,3870.533802
Astoria,98,,Astoria,4393,1.41086941,3113.682931
Auburndale,101,,Auburndale,5332,1.22550429,4350.861962
Baisley Park,102,,Baisley Park,4815,1.57965804,3048.128062
Bath Beach,94,,Bath Beach,1818,0.73731923,2465.689115
Battery Park City-Lower Manhattan,93,,Battery Park City-Lower Manhattan,1311,0.68191078,1922.538899
Bay Ridge,94,,Bay Ridge,7026,2.41128556,2913.798397
Bay Ridge and Dyker Heights (CD10),94,,Bayside-Bayside Hills,9780,2.89615164,3376.895003
Bayside - Little Neck,97,,Bedford,3702,1.17036545,3163.114564
Bayside and Little Neck (CD11),98,,Bedford Park-Fordham North,1821,0.53798005,3384.883882
Bayside-Bayside Hills,100,,Bellerose,6246,1.979677,3155.060144
Bedford,99,,Belmont,1637,0.48634595,3365.916792
Bedford Park-Fordham North,97,,Bensonhurst East,3348,1.28431567,2606.835748
Bedford Stuyvesant - Crown Heights,98,,Bensonhurst West,4258,1.67372347,2544.028375
Bedford Stuyvesant (CD3),99,,Borough Park,5955,1.93704976,3074.26279
Bellerose,101,,Breezy Point-Belle Harbor-Rockaway Park-Broad Chan,4351,3.57337796,1217.61539
Belmont,99,,Briarwood-Jamaica Hills,3278,1.04982193,3122.434297
Belmont and East Tremont (CD6),99,,Brighton Beach,1281,0.6162361,2078.748713
Bensonhurst - Bay Ridge,95,,Bronxdale,1550,0.54479766,2845.092984
Bensonhurst (CD11),96,,Brooklyn Heights-Cobble Hill,1767,0.35814501,4933.755743
Bensonhurst East,97,,Brownsville,3092,1.17352685,2634.792719
Bensonhurst West,97,,Bushwick North,3455,0.89411504,3864.156004
Borough Park,100,,Bushwick South,4538,1.44079175,3149.657124
Borough Park,99,,Cambria Heights,3324,1.18639623,2801.762106
Borough Park (CD12),99,,Canarsie,5994,2.94439307,2035.733633
Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,94,,Carroll Gardens-Columbia Street-Red Hook,4346,1.59985591,2716.494637
Briarwood-Jamaica Hills,101,,Central Harlem North-Polo Grounds,3515,0.91115596,3857.736935
Brighton Beach,95,,Central Harlem South,2670,0.51797804,5154.65868
Bronx,97,,Charleston-Richmond Valley-Tottenville,8216,5.2200216,1573.939847
Bronxdale,98,,Chinatown,1474,0.5201534,2833.77942
Brooklyn,99,,Claremont-Bathgate,1706,0.59009579,2891.056044
