GeoID,Perc_Dpct,Perc_D,Perc_C,Pct_DorC
103,100,1,0,1
201,99.96,0.9996,0,0.9996
203,99.78,0.9978,0.0019,0.9997
101,99.51,0.9951,0,0.9951
110,99.25,0.9925,0.0077,1.0002
111,98.41,0.9841,0,0.9841
104,98.29,0.9829,0.017,0.9999
303,97.66,0.9766,0.0234,1
206,94.03,0.9403,0.0596,0.9999
301,91.59,0.9159,0.0839,0.9998
595,null,null,null,#VALUE!
106,78.52,0.7852,0.0275,0.8127
483,null,null,null,#VALUE!
316,77.75,0.7775,0.2225,1
202,76.88,0.7688,0.2308,0.9996
302,73.76,0.7376,0.1676,0.9052
306,72.03,0.7203,0.1937,0.914
305,67.68,0.6768,0.2956,0.9724
481,null,null,null,#VALUE!
313,64.5,0.645,0.3536,0.9986
484,null,null,null,#VALUE!
108,53.29,0.5329,0,0.5329
304,52.18,0.5218,0.4798,1.0016
308,44.18,0.4418,0.4658,0.9076
307,44.08,0.4408,0.5594,1.0002
318,43.12,0.4312,0.1799,0.6111
102,42.62,0.4262,0.3795,0.8057
501,42.48,0.4248,0.3793,0.8041
502,38.75,0.3875,0.3601,0.7476
401,37.17,0.3717,0.6282,0.9999
404,36.65,0.3665,0.6331,0.9996
315,34.51,0.3451,0.4104,0.7555
109,33.9,0.339,0.1599,0.4989
209,31.73,0.3173,0.6825,0.9998
403,30.31,0.3031,0.5101,0.8132
412,29.44,0.2944,0.7042,0.9986
227,null,null,null,#VALUE!
212,23.67,0.2367,0.7046,0.9413
503,22.97,0.2297,0.6603,0.89
107,16.87,0.1687,0.2301,0.3988
413,16.24,0.1624,0.8375,0.9999
402,15.74,0.1574,0.8423,0.9997
312,15.42,0.1542,0.7473,0.9015
164,null,null,null,#VALUE!
105,10.01,0.1001,0.0339,0.134
414,9.62,0.0962,0.7112,0.8074
310,8.4,0.084,0.0885,0.1725
407,6.32,0.0632,0.7489,0.8121
311,4.27,0.0427,0.734,0.7767
405,3.7,0.037,0.9619,0.9989
411,3.11,0.0311,0.5441,0.5752
410,0.97,0.0097,0.9903,1
409,0.34,0.0034,0.9449,0.9483
207,0.1,0.001,0.2002,0.2012
204,0.09,0.0009,0.8166,0.8175
406,0.07,0.0007,0.5027,0.5034
205,0.03,0.0003,0.7322,0.7325
112,0,0,0.2634,0.2634
208,0,0,0.1996,0.1996
210,0,0,0.9996,0.9996
211,0,0,0.9404,0.9404
226,null,null,null,#VALUE!
228,null,null,null,#VALUE!
309,0,0,0.2867,0.2867
314,0,0,0.2317,0.2317
317,0,0,0.4078,0.4078
355,null,null,null,#VALUE!
356,null,null,null,#VALUE!
408,0,0,0.7191,0.7191
480,null,null,null,#VALUE!
482,null,null,null,#VALUE!
